1	256	2	350
1	257	1	67
1	260	1	263
1	261	1	334
1	262	2	333
1	263	2	314
1	264	1	151
1	267	2	25
1	268	1	74
1	271	1	191
1	272	2	195
1	273	2	165
1	274	1	75
1	277	1	52
1	278	2	183
1	279	1	5
1	280	1	72
1	281	2	117
1	282	2	101
1	283	1	128
1	286	1	129
1	287	1	278
1	288	2	347
1	289	1	345
1	290	2	12
1	293	2	198
1	294	2	211
1	295	1	286
1	296	2	398
1	297	1	294
1	300	1	144
1	301	1	156
1	302	2	40
1	303	1	285
1	304	1	147
1	305	2	82
1	307	2	309
1	308	1	295
1	309	2	306
1	312	1	364
1	313	2	1
1	314	1	267
1	315	2	203
