1	256	237
1	258	245
1	260	58
1	261	33
1	263	318
1	264	145
1	266	2
1	268	17
1	269	49
1	271	219
1	272	98
1	273	313
1	275	312
1	276	63
1	278	259
1	280	50
2	256	54
2	258	324
2	260	88
2	262	26
2	264	332
2	265	185
2	267	201
2	269	271
2	270	329
2	272	112
2	273	40
2	274	170
2	276	53
2	278	156
2	280	92
2	282	285
3	256	171
3	257	189
3	259	296
3	261	215
3	263	288
3	265	222
3	267	19
3	269	269
3	270	27
3	271	85
3	272	257
3	273	61
3	275	212
3	277	46
3	278	253
3	279	106
4	256	81
4	257	161
4	259	320
4	260	225
4	261	289
4	263	140
4	264	239
4	266	250
4	267	47
4	268	316
4	269	69
4	270	133
4	271	105
4	273	207
4	274	107
4	275	138
5	256	20
5	257	235
5	258	24
5	260	232
5	262	261
5	264	100
5	266	204
5	267	221
5	268	90
5	269	178
5	270	142
5	271	93
5	273	266
5	274	272
5	275	317
5	276	108
6	256	89
6	258	45
6	259	267
6	261	179
6	262	187
6	263	121
6	264	308
6	265	124
6	266	91
6	268	315
6	269	120
6	270	153
6	271	218
6	273	164
6	275	149
6	277	78
7	256	321
7	258	224
7	259	169
7	261	238
7	262	176
7	263	294
7	264	211
7	265	263
7	266	175
7	268	299
7	269	62
7	270	223
7	271	14
7	273	325
7	275	31
7	276	16
8	256	59
8	257	118
8	258	303
8	259	148
8	260	195
8	261	200
8	262	307
8	263	309
8	264	172
8	265	132
8	266	143
8	267	4
8	268	144
8	269	184
8	270	129
8	272	249
9	256	217
9	258	131
9	260	87
9	261	18
9	263	174
9	264	82
9	266	126
9	268	203
9	270	206
9	272	216
9	273	70
9	274	229
9	276	243
9	277	280
9	279	167
9	281	146
10	256	65
10	258	322
10	260	73
10	261	150
10	262	241
10	263	134
10	264	74
10	265	166
10	267	135
10	269	86
10	271	94
10	273	270
10	275	286
10	276	242
10	277	141
10	279	35
11	256	60
11	257	273
11	259	293
11	260	248
11	261	190
11	262	37
11	263	0
11	264	181
11	265	199
11	267	297
11	269	275
11	271	188
11	273	130
11	274	125
11	275	256
11	276	234
12	256	198
12	258	304
12	259	111
12	260	44
12	261	244
12	262	226
12	263	202
12	264	283
12	266	274
12	267	97
12	269	101
12	271	233
12	272	96
12	273	279
12	274	160
12	276	291
13	256	260
13	257	295
13	258	7
13	259	104
13	261	117
13	262	103
13	264	282
13	266	158
13	268	163
13	269	28
13	270	278
13	271	30
13	272	13
13	273	3
13	275	99
13	276	66
14	256	247
14	257	330
14	258	162
14	259	311
14	260	57
14	261	287
14	263	72
14	265	115
14	267	231
14	268	155
14	269	331
14	270	300
14	271	268
14	272	42
14	274	213
14	275	152
15	256	95
15	257	116
15	258	119
15	259	21
15	261	11
15	262	36
15	263	209
15	264	323
15	265	84
15	266	177
15	267	25
15	268	52
15	269	180
15	270	255
15	271	38
15	272	83
