1	xc6548bb9098f	1	196
1	xfacb04444684	1	246
1	xe669fd3be6e5	2	145
1	xc697728a4495	2	76
1	xba58b0df8687	2	33
1	x9e0d0d20fbca	1	58
1	xc2176931369a	2	245
1	x2ee784f3be29	1	237
1	x9269994084fd	2	17
1	x0e8cfb05c372	2	236
1	xd26b00ff74cf	1	259
1	x167eacfc5d85	2	147
2	xc6548bb9098f	1	80
2	xfacb04444684	1	5
2	xe669fd3be6e5	3	185
2	xc697728a4495	3	23
2	xba58b0df8687	3	26
2	x9e0d0d20fbca	2	88
2	xc2176931369a	3	324
2	x2ee784f3be29	2	54
2	xced199bebf10	1	319
2	x9269994084fd	3	271
2	x0e8cfb05c372	3	306
2	xd26b00ff74cf	2	92
2	x167eacfc5d85	3	77
3	xc6548bb9098f	1	230
3	xfacb04444684	2	265
3	xe669fd3be6e5	3	222
3	xc697728a4495	3	251
3	xba58b0df8687	3	215
3	x9e0d0d20fbca	3	296
3	xc2176931369a	3	189
3	x2ee784f3be29	3	171
3	xced199bebf10	2	15
3	x9269994084fd	3	269
3	x0e8cfb05c372	3	257
3	xd26b00ff74cf	3	253
3	x167eacfc5d85	3	194
4	xc6548bb9098f	2	113
4	xfacb04444684	3	289
4	xe669fd3be6e5	3	140
4	xc697728a4495	3	298
4	xba58b0df8687	3	225
4	x9e0d0d20fbca	3	320
4	xc2176931369a	3	161
4	x2ee784f3be29	3	81
4	x9269994084fd	3	250
4	x0e8cfb05c372	3	69
4	xd26b00ff74cf	3	107
4	x167eacfc5d85	3	168
5	xc6548bb9098f	3	10
5	xfacb04444684	1	305
5	xe669fd3be6e5	3	100
5	xc697728a4495	3	272
5	xba58b0df8687	3	232
5	x9e0d0d20fbca	3	24
5	xc2176931369a	3	235
5	x2ee784f3be29	3	20
5	xced199bebf10	2	284
5	x9269994084fd	3	221
5	x0e8cfb05c372	3	142
5	xd26b00ff74cf	3	317
6	xc6548bb9098f	3	308
6	xfacb04444684	3	187
6	xe669fd3be6e5	3	121
6	xc697728a4495	3	164
6	xba58b0df8687	3	179
6	x9e0d0d20fbca	1	267
6	xc2176931369a	3	45
6	x2ee784f3be29	1	89
6	xced199bebf10	3	183
6	x9269994084fd	3	124
6	x0e8cfb05c372	3	68
6	xd26b00ff74cf	2	149
7	xc6548bb9098f	3	211
7	xfacb04444684	3	176
7	xe669fd3be6e5	3	294
7	xc697728a4495	3	325
7	xba58b0df8687	3	238
7	x9e0d0d20fbca	2	169
7	xc2176931369a	3	224
7	x2ee784f3be29	1	321
7	xced199bebf10	3	137
7	x9269994084fd	3	263
7	x0e8cfb05c372	3	71
7	xd26b00ff74cf	3	31
8	xc6548bb9098f	3	307
8	xfacb04444684	3	195
8	xe669fd3be6e5	3	200
8	xc697728a4495	3	184
8	xba58b0df8687	3	148
8	x9e0d0d20fbca	3	303
8	xc2176931369a	3	118
8	x2ee784f3be29	3	59
8	x9269994084fd	3	309
8	x0e8cfb05c372	3	143
8	xd26b00ff74cf	1	129
9	xc6548bb9098f	3	8
9	xfacb04444684	3	310
9	xe669fd3be6e5	2	82
9	xc697728a4495	2	186
9	xba58b0df8687	2	18
9	x9e0d0d20fbca	3	87
9	xc2176931369a	1	131
9	x2ee784f3be29	3	217
9	x9269994084fd	1	203
9	x0e8cfb05c372	1	254
9	xd26b00ff74cf	3	167
9	x167eacfc5d85	1	208
10	xc6548bb9098f	3	122
10	xfacb04444684	3	241
10	xe669fd3be6e5	3	134
10	xc697728a4495	3	242
10	xba58b0df8687	3	150
10	x9e0d0d20fbca	3	73
10	xc2176931369a	1	322
10	x2ee784f3be29	3	65
10	x9269994084fd	2	166
10	x0e8cfb05c372	2	114
10	xd26b00ff74cf	3	141
10	x167eacfc5d85	1	326
11	xc6548bb9098f	3	9
11	xfacb04444684	3	190
11	xe669fd3be6e5	3	37
11	xc697728a4495	3	125
11	xba58b0df8687	3	248
11	x9e0d0d20fbca	3	293
11	xc2176931369a	2	273
11	x2ee784f3be29	3	60
11	x9269994084fd	3	181
11	x0e8cfb05c372	3	39
11	xd26b00ff74cf	3	256
11	x167eacfc5d85	1	276
12	xc6548bb9098f	3	202
12	xfacb04444684	3	244
12	xe669fd3be6e5	3	226
12	xc697728a4495	3	279
12	xba58b0df8687	3	44
12	x9e0d0d20fbca	3	111
12	xc2176931369a	3	304
12	x2ee784f3be29	3	198
12	x9269994084fd	2	283
12	x0e8cfb05c372	1	327
12	xd26b00ff74cf	3	160
12	x167eacfc5d85	3	220
13	xc6548bb9098f	3	282
13	xfacb04444684	3	79
13	xe669fd3be6e5	1	103
13	xc697728a4495	1	159
13	xba58b0df8687	2	104
13	x9e0d0d20fbca	3	7
13	xc2176931369a	3	295
13	x2ee784f3be29	3	260
13	x9269994084fd	3	158
13	x0e8cfb05c372	3	278
13	xd26b00ff74cf	3	99
14	xc6548bb9098f	3	72
14	xfacb04444684	3	57
14	xe669fd3be6e5	1	287
14	xc697728a4495	2	182
14	xba58b0df8687	3	311
14	x9e0d0d20fbca	3	162
14	xc2176931369a	3	330
14	x2ee784f3be29	3	247
14	x9269994084fd	3	115
14	x0e8cfb05c372	3	331
14	xd26b00ff74cf	3	213
15	xc6548bb9098f	3	209
15	xfacb04444684	3	277
15	xe669fd3be6e5	3	36
15	xc697728a4495	3	255
15	xba58b0df8687	2	21
15	x9e0d0d20fbca	3	119
15	xc2176931369a	3	116
15	x2ee784f3be29	3	95
15	x9269994084fd	3	323
15	x0e8cfb05c372	3	25
15	xd26b00ff74cf	3	38
